zip,mhi,pct_pov,pct_col,pct_unins,pct_essworkers,pct_overcrowded,pct_transit,pct_old,pct_new_imm,pct_non_cit,total_pop,city_name,pct_diabetes,pct_hbp,city,tests,positives,deaths
11203,51277,0.16335669255120538,0.9618162781142728,0.08021001615508885,0.5484767718453558,0.0641907712258204,0.6010681765117908,0.23868470928152047,0.07675597393193338,0.15253608302076846,75451,New York,14.112606233689498,36.97228026983111,New York,2814,1560,NA
11204,49785,0.2275716573988462,0.4560523786016784,0.08231822259200998,0.46218381775333855,0.16745053175712893,0.5254974518778199,0.19314609368910599,0.1424977439908119,0.18813167398477487,76978,New York,10.744675713764796,26.737257684613034,New York,2849,1520,NA
11205,56708,0.2919558359621451,0.5773271969433831,0.058487687949444325,0.32158734615564605,0.09942310052780166,0.5969625059326056,0.11468825981243487,0.17401545129074808,0.10815387287252519,46064,New York,9.679625712238563,25.074067692517655,New York,1159,538,NA
11206,36404,0.36559408754974415,0.665712118982671,0.0788378448872206,0.3775581645842309,0.10727401584949424,0.6690490645179094,0.1391526785815346,0.10287854889589906,0.09591506412070312,88349,New York,11.378061382393398,25.678932255845943,New York,2213,1132,NA
11207,37243,0.28894066446132033,0.9598247292654286,0.07716866020861123,0.554405900596836,0.08670276774969916,0.6812865497076024,0.16782281563954246,0.11061531235321748,0.13644370025659983,91972,New York,14.117909702146479,32.76625746271712,New York,2847,1478,NA
11208,40733,0.2577339520494973,0.9757956618690452,0.06538859682952078,0.5924642049736247,0.1966688418632112,0.6622239244223158,0.14272248124873302,0.11430247565411242,0.16684573281978513,98660,New York,13.537775230192524,30.571537103759507,New York,2948,1654,NA
11209,72314,0.13292863488303228,0.35451046321284785,0.06610187063998696,0.3233741370308058,0.0843431068027443,0.5772111269614836,0.23734312554380688,0.12463207467832815,0.11396717249922576,67809,New York,8.430228747196066,24.053917446842807,New York,1999,883,NA
11210,65900,0.12425787106446778,0.7050566825775656,0.06462300758163692,0.48279998703109295,0.10930974087214264,0.5525144489470537,0.18970763723150358,0.13344516221135658,0.14633054892601433,67040,New York,11.222559659228423,30.956036594220436,New York,2442,1320,NA
11211,71225,0.26219673318392234,0.3605979108200811,0.061234254467337164,0.218496802717216,0.10336684948202317,0.6251380091812424,0.12413275647022139,0.1542571461283059,0.10089257873401933,102624,New York,7.906719022687609,20.57503585437078,New York,2930,1545,NA
11212,26239,0.36135637798234077,0.9881479739177023,0.09474169741697416,0.5843212375307214,0.05687670884466205,0.6743124457690421,0.19215440302115594,0.10659083772373609,0.14313902282854418,76527,New York,15.706944309927362,37.36656981436642,New York,2406,1293,NA
11213,41710,0.23602114397457835,0.794087035221359,0.09251482026168564,0.4381028404177476,0.09130139449394654,0.6542501050273071,0.1636775020740629,0.10130395148824858,0.13756693566633985,66295,New York,13.5390830632249,34.300844821077575,New York,2058,1099,NA
11214,54041,0.1751091182809674,0.573128483205302,0.1109993401910201,0.5012778810408922,0.13487614693264022,0.5893218925038732,0.2215157188044671,0.14822492873801502,0.22334473780474684,92946,New York,10.829405879435894,26.867224624379038,New York,2208,1154,NA
11215,123583,0.07095924531543009,0.33062033183191747,0.036550542547115934,0.17635541804645766,0.04784354810546534,0.6767458426469505,0.14544728889902503,0.14739500265816055,0.08704886253492217,70156,New York,5.6379077973528995,18.0071311193488,New York,1266,487,NA
11216,61121,0.17368270842995256,0.7397172693045393,0.08173581815916413,0.3190253399064276,0.06009385771834379,0.7237762237762237,0.1612026710236556,0.12379480840543881,0.10883000639340769,56308,New York,11.080015752705355,30.386793982009955,New York,1163,543,NA
11217,107362,0.1462929786241932,0.4911005385562828,0.044667318982387474,0.19573476083577965,0.05628474809422823,0.7222564734895192,0.1544183350641196,0.16916368515205724,0.08682106890139349,41407,New York,7.521521483491632,21.415962008141115,New York,898,431,NA
11218,69415,0.19885566231242577,0.4753315080259838,0.07731549405731361,0.37426401318888364,0.13810021716399903,0.6103633510381459,0.1670022011059215,0.14150810429880198,0.1473130402104472,74508,New York,9.980598037835046,25.256477491433127,New York,2376,1294,NA
